"UniProt_ID"	"Protein_Name"
"59"	"A2BF91"	"Novel protein (Zgc:101858)"
"60"	"A2BFN7"	"Hydroxymethylbilane synthase (Fragment)"
"61"	"A2BFT0"	"Novel protein"
"62"	"A2BG14"	"Novel protein (Zgc:112282)"
"63"	"A2BGB4"	"Novel protein similar to vertebrate platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa (PAFAH1B2)"
"64"	"A2BGE0"	"Novel protein similar to vertebrate syntaxin binding protein 1 (STXBP1)"
"65"	"A2BGE5"	"Programmed cell death 8 (Apoptosis-inducing factor)"
"66"	"A2BGK0"	"Phosphatidate cytidylyltransferase"
"67"	"A2BGP9"	"Novel protein (Zgc:100861)"
"68"	"A2BGQ8"	"N-acetylated alpha-linked acidic dipeptidase-like 1"
"69"	"A2BGR0"	"Novel protein similar to vertebrate type 1 tumor necrosis factor receptor shedding aminopeptidase regulator (ARTS-1)"
"70"	"A2BGR9"	"Novel protein similar to aldehyde dehydrogenase 2, like (Aldh2l)"
"71"	"A2BGU8"	"Neuronal-specific septin-3"
"72"	"A2BGX6"	"Myosin heavy chain 4"
"73"	"A2BHB2"	"Novel protein (Zgc:77155)"
"74"	"A2BHD8"	"Novel protein similar to vertebrate hexosaminidase A (Alpha polypeptide) (HEXA)"
"75"	"A2BHK9"	"Novel protein"
"76"	"A2BIC6"	"Leucine aminopeptidase 3"
"77"	"A2BIK1"	"Beta-galactosidase"
"78"	"A2BIN5"	"Novel protein (Zgc:85685)"
"79"	"A2BIP1"	"Novel protein similar to vertebrate ATPase, Ca++ transporting, cardiac muscle, fast twitch 1 (ATP2A1) (Fragment)"
"80"	"A2BIR3"	"Ubiquitin carrier protein"
"81"	"A2CE51"	"Novel protein (Wu:fj53d02)"
"82"	"A2CE73"	"KH domain containing, RNA binding, signal transduction associated 1"
"83"	"A2CEA9"	"Novel protein similar to vertebrate BRI3 binding protein (BRI3BP)"
"84"	"A2CED8"	"Novel protein similar to vertebrate mannosidase, alpha, class 2A, member 1 (MAN2A1) (Fragment)"
"85"	"A2CEF5"	"Chloride intracellular channel 5"
"86"	"A2CEI6"	"Piwi-like protein 2"
"87"	"A2CEP5"	"SH3-domain GRB2-like endophilin B2 (Fragment)"
"88"	"A2CER9"	"Novel protein similar to vertebrate ankyrin repeat and FYVE domain containing 1 (ANKTFY1)"
"89"	"A2CET1"	"Novel protein similar to vertebrate radial spokehead-like 3 (RSHL3)"
"90"	"A2CEW4"	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"
"91"	"A2CEY7"	"Novel protein"
"92"	"A2CF37"	"Tenascin R (Restrictin, janusin)"
"93"	"A2CF48"	"Novel protein (Zgc:92317)"
"94"	"A2RUX5"	"Uncharacterized protein"
"95"	"A2RV07"	"Snx12 protein"
"96"	"A2RV19"	"Zgc:158619 protein"
"97"	"A2RV23"	"Zgc:158677 protein"
"98"	"A2RV29"	"Zinc finger protein 346"
"99"	"A2RV32"	"Lectin, mannose-binding 2"
"100"	"A2RV44"	"Zgc:158846 protein"
"101"	"A2VCX7"	"Phenylalanyl-tRNA synthetase, alpha subunit"
"102"	"A2VD22"	"Npsnl protein"
"103"	"A2VD28"	"Zgc:158446 protein"
"104"	"A3KGZ6"	"Serine/threonine-protein phosphatase (Fragment)"
"105"	"A3KMS9"	"Uncharacterized protein"
"106"	"A3KNL3"	"Pcyt1b protein"
"107"	"A3KNL9"	"Zgc:162229 protein"
"108"	"A3KNM1"	"Uncharacterized protein"
"109"	"A3KNM2"	"Si:ch211-203l9.2"
"110"	"A3KNQ2"	"Im:7147183 protein (Fragment)"
"111"	"A3KNQ5"	"Zgc:162349 protein"
"112"	"A3KNR6"	"Novel protein similar to crystallin, gamma family"
"113"	"A3KNW3"	"Hexa protein"
"114"	"A3KP14"	"Elovl2 protein"
"115"	"A3KP44"	"Zgc:162938 protein"
"116"	"A3KP47"	"Uncharacterized protein"
"117"	"A3KP76"	"Zgc:175088 protein (Fragment)"
"118"	"A3KP93"	"Hint2 protein"
"119"	"A3KPG7"	"Novel pentaxin family domain containing protein"
"120"	"A3KPI6"	"Novel protein"
"121"	"A3KPN2"	"Novel protein similar to vertebrate pentaxin-related"
"122"	"A3KPN8"	"Tetratricopeptide repeat protein 38"
"123"	"A3KPR3"	"Novel protein similar to vertebrate histone 1, H1d (HIST1H1D)"
"124"	"A3KPW8"	"Novel protein similar to vertebrate hippocalcin like 4 (HPCAL4)"
"125"	"A3KQ74"	"Novel protein containing a galactose binding lectin domain"
"126"	"A3KQ78"	"Novel protein containing a galactose binding lectin domain"
"127"	"A3KQ79"	"Novel protein containing a galactose binding lectin domain"
"128"	"A3KQK2"	"Asparagine synthetase"
"129"	"A3KQL1"	"Novel protein similar to vertebrate EF hand calcium binding protein 2 (EFCBP2, zgc:112232)"
"130"	"A3KQR0"	"Novel protein (Zgc:55656)"
"131"	"A3KQR6"	"Novel protein containing galactose binding lectin domain"
"132"	"A3QK15"	"Acetoacetyl-CoA synthetase"
"133"	"A3QK16"	"Erlin-2"
"134"	"A4FUJ9"	"Zgc:136220"
"135"	"A4FUL2"	"Zgc:158138 protein (Fragment)"
"136"	"A4FUL9"	"Novel protein similar to H.sapiens C9orf64, chromosome 9 open reading frame 64 (C9orf64, zgc:136564)"
"137"	"A4FUN4"	"Zgc:136771"
"138"	"A4FUP1"	"Histidine ammonia-lyase"
"139"	"A4FVG0"	"Si:dkey-241l7.6 protein"
"140"	"A4FVH2"	"Crystallin, gamma M1"
"141"	"A4FVH7"	"Hao1 protein"
"142"	"A4FVI2"	"Zgc:171808 protein (Fragment)"
"143"	"A4FVK4"	"Rab8a protein"
"144"	"A4FVM8"	"Zgc:163083 protein"
"145"	"A4IG19"	"Phosphorylase"
"146"	"A4IG34"	"Uncharacterized protein"
"147"	"A4IG36"	"Aldh5a1 protein"
"148"	"A4IG42"	"Protein FAM115"
"149"	"A4IG45"	"Zgc:162216 protein"
"150"	"A4IG50"	"LOC559610 protein (Fragment)"
"151"	"A4IGA9"	"Zgc:162509 protein"
"152"	"A4IGB9"	"Microsomal triglyceride transfer protein"
"153"	"A4IGC2"	"Gsnb protein"
"154"	"A4IGF5"	"Zgc:162918 protein"
"155"	"A4JYG6"	"Nadl1.1 (Fragment)"
"156"	"A4JYG7"	"Ncam3 (Fragment)"
"157"	"A4JYG9"	"Ncam2 (Fragment)"
"158"	"A4JYN2"	"Bcan"
"159"	"A4JYP6"	"cDNA, clone cssl:d0228"
"160"	"A4QN51"	"Cyp2k19 protein (Fragment)"
"161"	"A4QN55"	"LOC566865 protein (Fragment)"
"162"	"A4QNS8"	"Sb:cb37 protein (Fragment)"
"163"	"A4QNV1"	"Pfkmb protein"
"164"	"A4QNV6"	"Uncharacterized protein"
"165"	"A4QNW7"	"Phytanoyl-CoA hydroxylase-interacting protein-like"
"166"	"A4QP04"	"Zgc:162544 protein"
"167"	"A4QP10"	"Zgc:162603 protein"
"168"	"A4QP35"	"Zgc:162816 protein"
"169"	"A4QP40"	"Mapk10 protein"
"170"	"A4QP41"	"Zgc:123333 protein"
"171"	"A4QP55"	"Acmsd protein"
"172"	"A4QP66"	"Phex protein"
"173"	"A4QP84"	"Zgc:163027 protein"
"174"	"A4QPA0"	"Malic enzyme"
"175"	"A4UU77"	"Novel protein"
"176"	"A4VAK4"	"Heat shock protein 1"
"177"	"A4VCF3"	"Myh9l2 protein"
"178"	"A4VCG0"	"Si:dkey-222f8.3 protein"
"179"	"A4VCH0"	"Phosphatidylinositide phosphatase SAC1-B"
"180"	"A5A4L9"	"FACT complex large subunit"
"181"	"A5D6S3"	"Mut protein"
"182"	"A5JV83"	"Heat shock protein beta-11"
"183"	"A5PF48"	"Myosin-Ic"
"184"	"A5PF61"	"Novel protein"
"185"	"A5PKS5"	"Pts protein"
"186"	"A5PKS6"	"Hapln1a protein"
"187"	"A5PL46"	"Si:rp71-15k1.1"
"188"	"A5PL57"	"Putative uncharacterized protein (Fragment)"
"189"	"A5PL78"	"LOC572200 protein (Fragment)"
"190"	"A5PL98"	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
"191"	"A5PLC8"	"Prothymosin alpha-B"
"192"	"A5PLG7"	"Zgc:165605 protein"
"193"	"A5PLI6"	"Si:ch211-51l3.4 protein"
"194"	"A5PLJ2"	"LOC100151220 protein (Fragment)"
"195"	"A5PLJ7"	"Novel protein similar to vertebrate oxidative-stress responsive 1 (OXSR1)"
"196"	"A5PLK2"	"Phospholysine phosphohistidine inorganic pyrophosphate phosphatase"
"197"	"A5PM88"	"Plastin 1 (I isoform)"
"198"	"A5PMF1"	"Novel protein similar to vertebrate adenylate cyclase family"
"199"	"A5PMN9"	"Novel protein similar to vertebrate calpain 2, (M/II) large subunit (CAPN2)"
"200"	"A5PMS9"	"Novel protein similar to vertebrate adaptor-related protein complex 1, beta 1 subunit (AP1B1)"
"201"	"A5PMV7"	"Protein phosphatase 2 (Formerly 2A), regulatory subunit A, beta isoform"
"202"	"A5PMZ3"	"Novel protein similar to gelsolin, like 1 (Gsnl1, zgc:77481)"
"203"	"A5PN22"	"Novel protein similar to vertebrate WD repeat domain 44 (WDR44)"
"204"	"A5PN55"	"Malic enzyme"
"205"	"A5PN62"	"Novel protein similar to vertebrate dimethylarginine dimethylaminohydrolase 2 (DDAH2)"
"206"	"A5WUJ9"	"Novel protein containing collagen triple helix repeat domain (Fragment)"
"207"	"A5WUL9"	"IFITM1"
"208"	"A5WUM7"	"Novel protein containing a short chain dehydrogenase domain (Zgc:153028)"
"209"	"A5WUP7"	"Novel protein"
"210"	"A5WUQ7"	"Novel protein similar to vertebrate apolipoprotein B (Including Ag(X) antigen) (APOB) (Fragment)"
"211"	"A5WV02"	"Novel protein similar to vertebrate plectin 1, intermediate filament binding protein 500kDa (PLEC1)"
"212"	"A5WVN8"	"Novel protein"
"213"	"A5WW06"	"Novel protein similar to vertebrate glucuronidase, beta (GUSB) (Fragment)"
"214"	"A5WW18"	"N-myc downstream regulated gene 1"
"215"	"A5WW28"	"Novel protein similar to vertebrate S100 calcium binding protein A11 (S100A11)"
"216"	"A5WW31"	"Novel protein"
"217"	"A5WW48"	"Novel protein"
"218"	"A5WWB7"	"Novel protein similar to vertebrate myosin binding protein C, slow type (MYBPC1, zgc:92073)"
"219"	"A5WWD7"	"Novel protein similar to human and mouse dipeptidyl-peptidase 7 (DPP7, zgc:113564)"
"220"	"A5WWE7"	"Aldehyde dehydrogenase 2, like"
"221"	"A5WWJ4"	"Matrilin 1"
"222"	"A5X6X5"	"Titin a"
"223"	"A5X6X6"	"Titin b"
"224"	"A6H8Q6"	"Dync1li1 protein"
"225"	"A6H8T4"	"Uncharacterized protein"
"226"	"A6NA21"	"Polymerase I and transcript release factor"
"227"	"A6P4B8"	"Ryanodine receptor 1b"
"228"	"A6XCT1"	"Ndrg4"
"229"	"A7E289"	"Snx1 protein (Fragment)"
"230"	"A7E2H1"	"Zgc:152732 protein (Fragment)"
"231"	"A7E2I1"	"LOC557419 protein (Fragment)"
"232"	"A7E2K1"	"Uncharacterized protein"
"233"	"A7E2K4"	"Rplp2l protein"
"234"	"A7E2K5"	"Uncharacterized protein"
"235"	"A7E2L0"	"Dad1 protein"
"236"	"A7E2M3"	"UPF0510 protein INM02"
"237"	"A7KBS5"	"Histidine decarboxylase"
"238"	"A7M796"	"Ryanodine receptor 3 (Fragment)"
"239"	"A7MBN9"	"Si:dkey-182g1.2 protein"
"240"	"A7MBQ2"	"LOC558601 protein (Fragment)"
"241"	"A7MBU4"	"Zgc:171674 protein"
"242"	"A7MBU7"	"Zgc:171680 protein"
"243"	"A7MBU9"	"Uncharacterized protein"
"244"	"A7MBW0"	"Zgc:171717 protein"
"245"	"A7MBX1"	"Capns1b protein"
"246"	"A7MBY0"	"Si:dkey-121j17.1 protein"
"247"	"A7MBZ3"	"Zgc:171776 protein"
"248"	"A7MBZ6"	"Zgc:171779 protein"
"249"	"A7MC04"	"Qdprb2 protein"
"250"	"A7MC20"	"LOC559122 protein (Fragment)"
"251"	"A7MC71"	"Zp2.3 protein (Fragment)"
"252"	"A7MCI0"	"Eif5a protein"
"253"	"A7MCJ5"	"Thy1 protein"
"254"	"A7MCJ8"	"Rbp4l protein"
"255"	"A7MCK5"	"Nudt9 protein"
"256"	"A7MCL7"	"MGC174082 protein"
"257"	"A7MCN3"	"Zgc:174637 protein"
"258"	"A7MCP2"	"Zgc:174689 protein"
"259"	"A7MCR1"	"Ubiquinol-cytochrome c reductase iron-sulfur subunit"
"260"	"A7MCR8"	"MGC174857 protein"
"261"	"A7MD85"	"Mpp2a protein"
"262"	"A7XDE0"	"Hepatocyte growth factor activator inhibitor 1b (Fragment)"
"263"	"A7YT47"	"Hadha protein"
"264"	"A7YT77"	"Novel protein"
"265"	"A7YY10"	"Uncharacterized protein"
"266"	"A7YY99"	"Uncharacterized protein"
"267"	"A7YYD9"	"Pabpn1 protein"
"268"	"A7YYE3"	"40S ribosomal protein S6"
"269"	"A7YYF5"	"Zgc:173905 protein"
"270"	"A7YYF6"	"Putative uncharacterized protein (Fragment)"
"271"	"A7YYG7"	"Arrestin 3, retinal (X-arrestin)"
"272"	"A7YYH0"	"Zgc:65960 protein"
"273"	"A7YYH5"	"Vps4b protein"
"274"	"A7YYI1"	"Zgc:64031"
"275"	"A8BB94"	"Zgc:113456 (Fragment)"
"276"	"A8BBB9"	"Epyc (Fragment)"
"277"	"A8BBF7"	"cDNA, clone cssl:d0375 (Fragment)"
"278"	"A8BBI6"	"Lrrc15 (Fragment)"
"279"	"A8DRM1"	"Fatty acid amide hydrolase"
"280"	"A8DZ63"	"Novel protein similar to vertebrate regulator of G-protein signalling 9 (RGS9)"
"281"	"A8DZ95"	"Novel protein similar to vertebrate dihydropyrimidinase-like 2 (DPYSL2)"
"282"	"A8E526"	"Rpl14 protein"
"283"	"A8E550"	"Zgc:173927 protein"
"284"	"A8E561"	"Zgc:63840 protein"
"285"	"A8E569"	"Putative uncharacterized protein (Fragment)"
"286"	"A8E586"	"Troponin T2, cardiac"
"287"	"A8E5B4"	"Zgc:174237 protein"
"288"	"A8E5E5"	"Anxa3b protein"
"289"	"A8E5I2"	"Zgc:77517 protein"
"290"	"A8E5J9"	"Ckmt2 protein"
"291"	"A8E5L0"	"Ckmb protein"
"292"	"A8E5L8"	"Nucleoside diphosphate kinase"
"293"	"A8E7I5"	"Tetratricopeptide repeat protein 36"
"294"	"A8E7L1"	"Novel protein (Zgc:112421)"
"295"	"A8E7N8"	"Proteasome subunit beta type"
"296"	"A8HAJ8"	"Novel protein similar to vertebrate complement component 8, beta polypeptide (C8B)"
"297"	"A8KAZ5"	"LOC100006972 protein (Fragment)"
"298"	"A8KB08"	"Fmo5 protein"
"299"	"A8KB10"	"Zgc:171426 protein"
"300"	"A8KB13"	"Si:dkey-46g23.3 protein"
"301"	"A8KB34"	"Aspartoacylase"
"302"	"A8KB78"	"Uncharacterized protein"
"303"	"A8KBB1"	"Si:ch211-234p6.12 protein"
"304"	"A8KBB6"	"Novel protein similar to crystallin, gamma family"
"305"	"A8KBJ5"	"Histone H3"
"306"	"A8KBL3"	"Kctd12.2 protein (Fragment)"
"307"	"A8KBL4"	"Ndufb9 protein"
"308"	"A8KBN4"	"Hbae1 protein"
"309"	"A8KBQ2"	"Zgc:91912"
"310"	"A8KBR8"	"Novel protein similar to glutathione S-transferase M (Gstm)"
"311"	"A8KBS5"	"Ak3l1 protein"
"312"	"A8KBU7"	"Uncharacterized protein"
"313"	"A8KBV1"	"Oxct1b protein"
"314"	"A8KBV7"	"Zgc:136930 protein"
"315"	"A8KC18"	"Zgc:63831"
"316"	"A8KC20"	"Pyruvate kinase"
"317"	"A8KC30"	"Proteasome (Prosome, macropain) 26S subunit, ATPase, 1a"
"318"	"A8KC60"	"Zgc:92586 protein"
"319"	"A8WFS6"	"Zgc:171446 protein"
"320"	"A8WFT4"	"Uncharacterized protein"
"321"	"A8WFU4"	"MGC172218 protein"
"322"	"A8WFU6"	"Uncharacterized protein"
"323"	"A8WFU9"	"Si:ch211-239j9.2 protein"
"324"	"A8WFW1"	"LOC799690 protein (Fragment)"
"325"	"A8WFZ0"	"Uncharacterized protein"
"326"	"A8WFZ1"	"Zgc:172051 protein"
"327"	"A8WG07"	"LOC562037 protein (Fragment)"
"328"	"A8WG08"	"LOC795922 protein"
"329"	"A8WG29"	"LOC561392 protein"
"330"	"A8WG31"	"LOC100148225 protein (Fragment)"
"331"	"A8WG34"	"Im:7138837 protein (Fragment)"
"332"	"A8WG46"	"Heterogeneous nuclear ribonucleoprotein H1"
"333"	"A8WG53"	"Zgc:77449 protein"
"334"	"A8WG64"	"Si:ch211-14a17.7 protein"
"335"	"A8WG75"	"Pdia5 protein"
"336"	"A8WG86"	"Uncharacterized protein"
"337"	"A8WGA7"	"Uncharacterized protein"
"338"	"A8WGB0"	"Uncharacterized protein"
"339"	"A8WGB4"	"LOC558832 protein (Fragment)"
"340"	"A8WGC6"	"ATP synthase subunit beta"
"341"	"A8WGJ1"	"Vtg2 protein"
"342"	"A8WGL4"	"Ribosomal protein L7"
"343"	"A8WGL5"	"Zgc:103654"
"344"	"A8WGN9"	"Lipf protein"
"345"	"A8WGP1"	"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 13"
"346"	"A8WGS0"	"Cyb5a protein"
"347"	"A8WHV7"	"Novel protein"
"348"	"A8WHY1"	"RAB5B, member RAS oncogene family (Fragment)"
"349"	"A8WIN6"	"Novel protein similar to H.sapiens MNFN2, mitofusin 2 (MNFN2)"
"350"	"A8WIN7"	"Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1a"
"351"	"A8Y5U1"	"UPF0600 protein C5orf51 homolog"
"352"	"A9C3P0"	"Malectin"
"353"	"A9C460"	"Novel protein"
"354"	"A9C462"	"Cytochrome c oxidase polypeptide VIa"
"355"	"A9JRA5"	"Scinderin like a"
"356"	"A9JRA9"	"Uncharacterized protein"
"357"	"A9JRB9"	"Zgc:172082 protein"
"358"	"A9JRC7"	"Serine/threonine-protein phosphatase 4 catalytic subunit B"
"359"	"A9JRE2"	"Methylthioribose-1-phosphate isomerase"
"360"	"A9JRE3"	"Zgc:172225 protein"
"361"	"A9JRE5"	"LOC798996 protein (Fragment)"
"362"	"A9JRE6"	"Dmgdh protein (Fragment)"
"363"	"A9JRG9"	"Novel protein similar to vertebrate AFG3 ATPase family gene 3-like 2 (Yeast) (AFG3L2)"
"364"	"A9JRP8"	"Novel protein (Zgc:86896)"
"365"	"A9JRS6"	"Krt4 protein"
"366"	"A9JRT0"	"Aprt protein"
"367"	"A9JRW0"	"Catenin (Cadherin-associated protein), alpha"
"368"	"A9JRX1"	"Uncharacterized protein"
"369"	"A9JRY8"	"Uncharacterized protein"
"370"	"A9JSV0"	"Putative uncharacterized protein (Fragment)"
"371"	"A9JSV9"	"Zgc:173545 protein"
"372"	"A9JSY8"	"Zgc:153993 protein"
"373"	"A9JSZ7"	"Uncharacterized protein"
"374"	"A9JT16"	"Pfdn5 protein"
"375"	"A9JT33"	"Hn1l protein"
"376"	"A9JT35"	"Putative uncharacterized protein (Fragment)"
"377"	"A9JT41"	"Rrbp1 protein"
"378"	"A9JT49"	"Pepd protein"
"379"	"A9JT52"	"Acadvl protein"
"380"	"A9JT76"	"Popdc2 protein"
"381"	"A9JT93"	"Zgc:101621 protein"
"382"	"A9JTC8"	"Gnai3 protein"
"383"	"A9JTF0"	"Zgc:77906"
"384"	"A9JTG2"	"Sb:cb367 protein (Fragment)"
"385"	"A9JTH1"	"Neurocalcin-delta A"
"386"	"A9UL52"	"Uncharacterized protein"
"387"	"A9ZPF2"	"Chemokine CCL-C11a"
"388"	"B0BLY0"	"Uncharacterized protein"
"389"	"B0CLY2"	"cDNA, clone cssl:d0653 (Fragment)"
"390"	"B0CM12"	"Nadl1.2 (Fragment)"
"391"	"B0JYH6"	"Nectin 1b"
"392"	"B0JZJ1"	"Ddx5 protein"
"393"	"B0JZJ9"	"Zgc:113194 protein"
"394"	"B0JZK8"	"Zgc:73210 protein"
"395"	"B0JZM5"	"Crip2 protein"
"396"	"B0JZN7"	"Putative uncharacterized protein (Fragment)"
"397"	"B0JZN9"	"Cubn protein (Fragment)"
"398"	"B0JZP4"	"LOC564840 protein (Fragment)"
"399"	"B0R068"	"ATPase, Na+/K+ transporting, alpha 1b polypeptide"
"400"	"B0R0B3"	"Novel protein similar to vertebrate phosphoglucomutase 5 (PGM5)"
"401"	"B0R0F7"	"Cardiac myosin light chain-1"
"402"	"B0R0J9"	"Novel protein (Fragment)"
"403"	"B0R0K9"	"Novel histone protein"
"404"	"B0R0M9"	"Novel protein (Zgc:56006)"
"405"	"B0R0N3"	"Novel protein similar to vertebrate copine family"
"406"	"B0R101"	"Novel protein (Wu:fb80a10)"
"407"	"B0R193"	"Novel protein"
"408"	"B0R197"	"Novel protein similar to H.sapiens VDAC3, voltage-dependent anion channel 3 (VDAC3, zgc:77898)"
"409"	"B0R198"	"Novel protein similar to H.sapiens VDAC3, voltage-dependent anion channel 3 (VDAC3, zgc:77898) (Fragment)"
"410"	"B0R1D0"	"Novel protein (Zgc:63709)"
"411"	"B0R1E9"	"Novel protein similar to H.sapiens MGST1, microsomal glutathione S-transferase 1 (MGST1, zgc:92357)"
"412"	"B0S516"	"Actin-related protein 2/3 complex subunit 5"
"413"	"B0S564"	"Novel protein similar to vertebrate procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), beta polypeptide (Protein disulfide isomerase; thyroid hormone binding protein p55) (P4HB)"
"414"	"B0S5B9"	"Novel protein similar to vertebrate synaptophysin (SYP)"
"415"	"B0S5C4"	"Novel protein similar to H.sapiens ACSL3, acyl-CoA synthetase long-chain family member 3 (ACSL3)"
"416"	"B0S5C5"	"Novel protein (Zgc:56036)"
"417"	"B0S5H1"	"Novel protein similar to H.sapiens ATPase, Ca++ transporting, plasma membrane (Zgc:92885)"
"418"	"B0S5I2"	"Novel protein similar to vertebrate complement component 3 (C3)"
"419"	"B0S5J6"	"Aspartate beta-hydroxylase"
"420"	"B0S5L0"	"Elongation factor-1, delta (Fragment)"
"421"	"B0S5M5"	"Novel protein similar to vertebrate lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase) (LSS)"
"422"	"B0S5N7"	"Novel protein similar to H.sapiens BLVRA, biliverdin reductase A(BLVRA, zgc:153046)"
"423"	"B0S5T2"	"Novel protein similar to vertebrate limbic system-associated membrane protein (LSAMP) (Fragment)"
"424"	"B0S621"	"Novel protein similar to vertebrate beaded filament structural protein 2, phakinin (BFSP2, zgc:103750)"
"425"	"B0S6B9"	"Novel protein similar to vertebrate nardilysin (N-arginine dibasic convertase) (NRD1)"
"426"	"B0S6C5"	"Novel protein similar to retinol saturase (All-trans-retinol 13,14-reductase) (Retsat, zgc:123334)"
"427"	"B0S6H4"	"Novel protein similar to H.sapiens PLP2, proteolipid protein 2 (Colonic epithelium-enriched) (PLP2)"
"428"	"B0S6H7"	"Synaptophysin b"
"429"	"B0S6N1"	"Novel protein similar to crystallin, gamma family"
"430"	"B0S6P6"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3"
"431"	"B0S6R1"	"Nck-associated protein 1"
"432"	"B0S6Z1"	"Novel protein similar to vertebrate DEAH (Asp-Glu-Ala-His) box polypeptide 9 (DHX9)"
"433"	"B0S730"	"Novel protein similar to vertebrate solute carrier family 25 (Mitochondrial carrier; adenine nucleotide translocator) protein family"
"434"	"B0S739"	"Novel protein"
"435"	"B0S784"	"Novel protein similar to vertebrate receptor accessory protein family (Zgc:101744)"
"436"	"B0S7L9"	"Novel protein similar to vertebrate kinesin family member 1 family"
"437"	"B0S7M2"	"Novel protein similar to vertebrate THAP domain containing 4 (THAP4)"
"438"	"B0S7S0"	"Novel protein similar to H.sapiens contactin associated protein"
"439"	"B0UXI4"	"Novel protein similar to vertebrate synapsin family of proteins"
"440"	"B0UXL2"	"Isocitrate dehydrogenase [NADP]"
"441"	"B0UXN0"	"Novel protein similar to vertebrate quiescin Q6 sulfhydryl oxidase 1 (QSOX1)"
